uur,vx_c,x_c,y_c,vx_b,x_b,y_b,vx_ster,x_ster,y_ster
990001,33487.983285459886,22194642443462.223,-6983401214794.065,-1847.624696321017,22210948792514.266,-7005272153435.137,174.94090562705625,22182698408714.98,-6999995746321.104
990002,26648.986146965563,22197307342076.918,-6987486280576.724,-7699.382722352217,22210178854242.03,-7009498445055.471,221.8840884988159,22182720597123.832,-6999970541999.304
990003,16550.7754957446,22198962419626.492,-6992441356295.129,-13198.322322736472,22208859022009.758,-7013532968274.039,272.7614873977263,22182747873272.57,-6999944860206.383
990004,2612.385074550346,22199223658133.945,-6998047300415.769,-18232.991100025738,22207035722899.754,-7017304349417.226,327.98939310387544,22182780672211.88,-6999919523571.935
990005,-15177.30516988128,22197705927616.957,-7003862270059.043,-22722.696001293058,22204763453299.625,-7020752553785.438,387.11472097259474,22182819383683.977,-6999895698488.735
990006,-35136.44008455563,22194192283608.5,-7009152473629.474,-26616.536092229133,22202101799690.402,-7023829164231.695,446.7400586763645,22182864057689.844,-6999875021060.587
990007,-52807.03222551978,22188911580385.95,-7013000611262.535,-29889.623464652,22199112837343.938,-7026497279077.477,498.5058567033775,22182913908275.516,-6999859397908.535
990008,-62517.47401733025,22182659832984.215,-7014715870427.076,-32533.69929844854,22195859467414.094,-7028731208721.775,531.9141600613851,22182967099691.523,-6999850252567.153
990009,-62005.15813914512,22176459317170.3,-7014216094981.224,-34551.47280033736,22192404320134.06,-7030515096941.248,542.8121946849321,22183021380910.992,-6999847829459.807
990010,-53790.27026457299,22171080290143.844,-7011930041524.865,-35960.50024155463,22188808270109.902,-7031841191074.433,535.9462365576017,22183074975534.65,-6999851384135.511
990011,-41822.0569873498,22166898084445.11,-7008444531761.933,-36789.140413307345,22185129356068.57,-7032708704929.505,518.7588906327751,22183126851423.71,-6999859840035.997
990012,-28925.548740671435,22164005529571.043,-7004280318096.709,-37070.92609235824,22181422263459.336,-7033122873847.398,496.651848226316,22183176516608.535,-6999872206991.172
990013,-16544.9392832148,22162351035642.723,-6999833903816.606,-36841.69267942601,22177738094191.395,-7033094055810.297,472.4962326605953,22183223766231.8,-6999887693686.226
990014,-5264.728611857927,22161824562781.535,-6995392341744.089,-36137.94527494966,22174124299663.9,-7032636915468.479,447.5831802728067,22183268524549.83,-6999905685185.088
990015,4747.736953284411,22162299336476.863,-6991163168718.679,-34995.765765025106,22170624723087.395,-7031769719974.512,422.43277118861,22183310767826.945,-6999925691911.144
990016,13496.201248842794,22163648956601.746,-6987300340766.412,-33450.09245400594,22167279713841.992,-7030513754132.67,397.2431540703119,22183350492142.35,-6999947305296.128
990017,21037.077523029886,22165752664354.05,-6983923027394.649,-31534.2992805833,22164126283913.934,-7028892850458.479,372.1062574117459,22183387702768.094,-6999970165911.127
990018,27425.193354975818,22168495183689.547,-6981128474625.89,-29280.014356765,22161198282478.258,-7026933024168.087,347.10668524505655,22183422413436.617,-6999993941909.639
990019,32688.111218657017,22171763994811.414,-6979000654022.965,-26717.12493428287,22158526569984.83,-7024662200943.74,322.36905860459234,22183454650342.477,-7000018314690.129
990020,36811.36918080654,22175445131729.496,-6977615982723.928,-23873.925675920866,22156139177417.234,-7022110024926.3,298.0860785429558,22183484458950.332,-7000042969484.177
990021,39725.85900522313,22179417717630.02,-6977046839080.835,-20777.37769106875,22154061439648.13,-7019307734853.825,274.54330120044744,22183511913280.453,-7000067589606.11
990022,41292.49586719238,22183546967216.74,-6977363030291.434,-17453.45566705579,22152316094081.42,-7016288097049.292,252.1494198849806,22183537128222.44,-7000091854142.294
990023,41281.13950063298,22187675081166.8,-6978630682879.372,-13927.568906124254,22150923337190.81,-7013085384715.062,231.47757216803447,22183560275979.66,-7000115440116.847
990024,39342.5609757258,22191609337264.375,-6980906982380.256,-10225.048986505539,22149900832292.156,-7009735393484.877,213.31985085731668,22183581607964.746,-7000138032092.082
990025,34977.473313309994,22195107084595.707,-6984227400739.682,-6371.7021369373415,22149263662078.46,-7006275483244.602,198.74760440757527,22183601482725.188,-7000159345455.57
990026,27523.300774417035,22197859414673.15,-6988579100235.722,-2394.428275415889,22149024219250.918,-7002744635718.211,189.1394464743455,22183620396669.836,-7000179175083.335
990027,16225.905331067592,22199482005206.254,-6993850600999.285,1678.0891924459165,22149192028170.164,-6999183516099.1875,186.05315389840027,22183639001985.227,-7000197487711.734
990028,565.3523515335182,22199538540441.406,-6999749151188.913,5814.619226331905,22149773490092.797,-6995634524996.641,190.62995399690473,22183658064980.625,-7000214573871.4795
990029,-18892.90244984068,22197649250196.42,-7005704600356.344,9980.546996258025,22150771544792.42,-6992141824173.484,202.03118759694004,22183678268099.383,-7000231224842.25
990030,-39212.33776412172,22193728016420.008,-7010864119352.293,14136.985059691375,22152185243298.39,-6988751316193.275,215.07477106046088,22183699775576.49,-7000248742500.298
990031,-55036.98242257212,22188224318177.75,-7014349127828.977,18239.881477758187,22154009231446.168,-6985510554301.934,220.15128642624967,22183721790705.133,-7000268466478.863
990032,-61891.82414692863,22182035135763.06,-7015692949818.625,22239.19221335657,22156233150667.504,-6982468553519.962,209.309578873254,22183742721663.02,-7000290968931.27
990033,-59648.46993315855,22176070288769.742,-7015003028542.651,26078.153005576398,22158840965968.062,-6979675465191.643,182.64623335733697,22183760986286.355,-7000315757573.061
990034,-51369.12074511686,22170933376695.23,-7012728724380.036,29692.683328343323,22161810234300.9,-6977182068224.387,146.17918805495628,22183775604205.16,-7000341706481.58
990035,-40272.63588517376,22166906113106.715,-7009381518914.487,33011.071281043754,22165111341429.004,-6975039026898.357,106.2597987738406,22183786230185.04,-7000367575953.524
990036,-28444.864145293235,22164061626692.184,-7005400211730.986,35954.194582613745,22168706760887.266,-6973295868020.68,67.1954297785447,22183792949728.016,-7000392266872.003
990037,-16955.377211570194,22162366088971.027,-7001124682485.497,38436.55425337358,22172550416312.6,-6971999639402.557,31.458459311134426,22183796095573.945,-7000414876920.985
990038,-6270.23087074853,22161739065883.953,-6996810937345.529,40368.38818946609,22176587255131.547,-6971193230392.106,0.4343550863206751,22183796139009.453,-7000434682719.911
990039,3444.3670579791888,22162083502589.75,-6992653678092.555,41659.10360900959,22180753165492.45,-6970913367153.622,-25.03898610045108,22183793635110.844,-7000451110007.246
990040,12152.217369470443,22163298724326.695,-6988805687216.905,42222.18951021666,22184975384443.473,-6971188342987.725,-44.38715318200724,22183789196395.527,-7000463711245.314
990041,19860.568463830725,22165284781173.08,-6985392301488.367,41981.605883519245,22189173545031.824,-6972035607342.324,-57.17723614339158,22183783478671.914,-7000472153103.544
990042,26576.27964610833,22167942409137.688,-6982521755120.362,40879.36655804576,22193261481687.63,-6973459411318.572,-63.08156270061732,22183777170515.645,-7000476211220.093
990043,32281.36424056705,22171170545561.746,-6980292490246.293,38883.64304547201,22197149845992.176,-6975448779025.693,-61.88019838150681,22183770982495.805,-7000475768638.619
990044,36915.368063983755,22174862082368.145,-6978798242115.059,35996.2909933723,22200749475091.51,-6977976120475.652,-53.472651614453945,22183765635230.645,-7000470814579.874
