dag,iox,ioy,eux,euy,Mx,My
0,413793445.50609726,-39971048.48980541,643500168.6073592,-160149085.04031008,0,0
10,-400853486.6255664,-212302159.98729813,82034965.40845066,-686955766.101644,0,0
20,283946801.19083536,274567066.2779815,-595729918.5549977,-361659154.0479795,0,0
30,-216851018.5150351,-399806053.57514197,-541798596.7929753,398500737.6864287,0,0
40,-29575347.167244993,412148763.3131384,217969121.72331327,610395721.5082215,0,0
50,65107250.70783074,-422530002.39300436,654510587.397789,-57021130.0488842,0,0
60,-314765353.53247905,316120988.49505806,171768941.71373922,-664751102.4922639,0,0
70,327708709.76236695,-226018521.1620502,-546207414.4424205,-435748299.3855146,0,0
80,-449781219.030608,86995887.30432133,-599440491.7901733,319810127.69023144,0,0
90,385847918.07129574,117219682.17001739,114743149.44092138,641192639.1435319,0,0
100,-400297894.8717783,-179966226.9438961,650148110.1477661,48771375.72549429,0,0
110,210941182.26212382,381532903.3481825,259399865.76124847,-628967147.5737729,0,0
120,-155622790.1809969,-374625328.37513804,-486661105.0090994,-501547427.42677426,0,0
130,-53348669.348490424,454480515.97471696,-643911824.2511863,235863888.93567714,0,0
140,190568717.3354493,-348012779.68463266,9646285.82330896,656127036.0795143,0,0
150,-292008132.747389,340309853.51999074,629853957.3418046,154376440.33315548,0,0
160,412089020.9756264,-101137548.48509686,343106432.46114147,-579616988.8939956,0,0
170,-410602915.70750517,68345153.08454335,-417938624.99428916,-558137350.1738002,0,0
180,413683383.60290426,185392392.52012044,-675019794.4243814,148505926.17666185,0,0
190,-302641098.88096905,-253863806.6159404,-94398587.879426,655442864.7943571,0,0
200,242737642.2374271,384916138.61642873,593725868.1627321,256724475.75812808,0,0
210,1125064.8475514874,-412693231.2183251,420849860.7062485,-517001189.6158067,0,0
220,-36443829.24748852,426512200.3137121,-340922589.2769997,-604593381.5937071,0,0
230,292862718.12999594,-335956931.8830565,-692781812.3975607,59374122.51396939,0,0
240,-311225765.7542026,248644382.50646347,-194786294.1503134,639939574.762556,0,0
250,443188755.56192005,-116237661.54006413,542597197.2733842,352755382.714121,0,0
260,-392706241.46192193,-89924961.69285005,490426148.7865124,-441827260.6916278,0,0
270,411874713.7940203,153029524.70753205,-256591239.09103483,-639958070.8933516,0,0
280,-235741161.78439817,-366112893.7929305,-697335339.9311268,-30077543.27975767,0,0
290,181480494.55741537,363294505.2465556,-289332247.7295568,610799799.9961908,0,0
300,23490545.430657946,-456880523.194799,478012147.6802687,439669406.4610923,0,0
310,-165513790.76296943,360390709.48535824,549578234.911469,-355317961.0764409,0,0
320,269124723.725761,-359153228.6545739,-166091039.88113815,-663241470.5910313,0,0
330,-403743695.779091,128717670.65944773,-688874744.6737136,-118531286.30923322,0,0
340,405473635.3547151,-96451084.59512365,-376296227.97078085,569417046.3564328,0,0
350,-424706719.3772786,-157704048.16521627,402095164.8472824,515146213.1644849,0,0
360,319837200.076196,231898823.9559441,596166459.6228263,-259277903.7450565,0,0
370,-267594190.0707699,-368349331.8422147,-70812695.38632774,-673454931.2387604,0,0
380,27278986.125471167,411281188.4225946,-667617398.4773917,-204744187.7331168,0,0
390,7558578.60021279,-428548208.96221507,-454345108.3523642,517253373.35692424,0,0
400,-269701934.32461345,354284806.70671004,317344650.6615585,577484563.9976412,0,0
410,293196430.2090548,-270069107.4833016,628377561.5678941,-156086822.50830844,0,0
420,-434689758.74432397,144985342.16240937,27541767.517216317,-669683148.2659091,0,0
430,397648185.5946324,62231310.61630184,-633798727.1045771,-287482963.05132246,0,0
440,-421630404.68654716,-125363457.40845391,-522479029.37460274,455741533.6758505,0,0
450,259436114.67133436,349073394.19984305,226401293.70810664,625640820.2591944,0,0
460,-206503532.09107006,-350193392.0093509,644933052.3595316,-48599209.415256046,0,0
470,6456504.614191756,457313368.0176648,126917782.9860653,-651195059.8164074,0,0
480,139658739.29396248,-370981155.56020844,-587695000.8244417,-365463070.2288283,0,0
490,-245032793.95523733,376446905.01425654,-579943578.5964938,386233318.01023895,0,0
500,393550530.65534943,-155650207.13385904,131841220.23657715,659175174.7646157,0,0
510,-398428456.695728,124156833.15319757,645247103.8379972,60045651.46260477,0,0
520,433876105.53979355,129358279.86760864,224913138.10587913,-617585964.6726465,0,0
530,-335450468.2931483,-208780090.4431622,-529672186.7856174,-437300190.6423199,0,0
540,291312199.1643972,350177167.19938123,-626144791.0131286,309988356.7914844,0,0
550,-55502509.173686646,-407920442.1784333,36027486.88908891,678136117.8810462,0,0
560,21416406.815194443,428627371.44220394,629491120.6337469,166669964.42055023,0,0
570,245386244.61608025,-371024360.8093076,318847804.64783245,-568931147.285114,0,0
580,-273708255.48640656,290187819.9091837,-460258046.3596121,-501483013.8075349,0,0
590,424320853.77809805,-173114519.8468275,-660577802.6121619,228194735.2844635,0,0
600,-400650641.59216356,-34272702.7987623,-58968919.16724467,682920117.7497947,0,0
610,429520101.9495775,97091445.73537731,598547617.7203196,268306517.7122891,0,0
620,-281919833.64171296,-330492409.18018097,405907842.94495493,-505918548.14713115,0,0
630,230571515.93361002,335383956.6375172,-380231890.21415746,-556377532.9540819,0,0
640,-36362740.29860445,-455777526.3597324,-682775599.9153384,142012647.3720259,0,0
650,-113130425.32599984,379732538.49958664,-151385470.27278543,674137572.5348495,0,0
660,219837725.6583794,-392113995.22737545,553869208.4388093,362396958.5203478,0,0
670,-381557864.5878943,181811152.89293173,483353498.799045,-429921113.1743876,0,0
680,389499186.61017877,-151332328.36106214,-290721426.65277576,-600273326.698085,0,0
690,-441152261.24899024,-100479131.7654284,-692281876.9906869,52633129.468344755,0,0
700,349404038.9381261,184621232.08960405,-239738274.23797944,652504647.5998913,0,0
710,-313788178.73162746,-330478170.4600351,497283711.2551182,446905272.0717132,0,0
720,83411991.41351591,402628015.15949523,548757976.1480942,-342975752.1472211,0,0
730,-50348676.636459626,-426747982.1762356,-193289285.32849562,-631479557.3596164,0,0
740,-220024036.97761616,386102369.9919934,-688651064.1047765,-38655631.68910353,0,0
750,252855862.11853164,-308902035.5457801,-322764307.35562336,618769607.1062274,0,0
760,-412126776.4556034,200503470.25015348,430793522.6714943,520340784.26728165,0,0
770,401699850.494196,6184451.5344154835,600225738.8166983,-247658039.84851247,0,0
780,-435507307.92122537,-68339588.47048244,-89985023.48925635,-648470580.6238606,0,0
790,303091549.55689526,310454937.2906701,-671478236.9525025,-130402585.67025416,0,0
800,-253568686.12442535,-318936304.17216235,-399351466.1487633,573674611.9353422,0,0
810,66098592.54398058,452280026.44806737,356407543.65701616,581708458.7834903,0,0
820,86059034.58643037,-386602264.01675683,636538799.0619485,-146873209.4993118,0,0
830,-193649742.27938187,406084789.5577206,16664318.694618784,-650067396.090308,0,0
840,367822376.75334644,-207080012.1629636,-640460730.0769705,-220938854.86607444,0,0
850,-378726423.69368553,177850043.9887572,-468468390.8866573,517949972.6680157,0,0
860,446504190.0651625,71192998.34728795,276025896.51869345,630415474.8005053,0,0
870,-361629196.00187767,-159540968.49458548,657199548.0651537,-43610241.60689168,0,0
