dag,m1x,m1y,m2x,m2y,Mx,My
0,-4896000440.764047,1497689832.2308674,1187346490.11287,-1428648816.4891605,250247.56407722144,53098.453500114796
1000,-5267970789937.193,1482820382388.3333,935413672619.3713,-1763110490268.276,254328240.03187463,45372499.20375538
2000,-10530856944772.947,2964089664494.0586,1868946486084.8818,-3523527216657.6084,508414893.4910204,90662420.2781671
3000,-15793734349527.57,4445356483888.225,2802447258755.3257,-5283883521136.079,762501945.4462605,135950929.25355616
4000,-21056608170236.96,5926622294570.766,3735934904401.26,-7044215068223.481,1016589160.7037022,181238859.61559355
5000,-26319480026722.2,7407887552436.489,4669415355042.375,-8804533045001.158,1270676465.4781632,226526472.81710193
6000,-31582350640661.574,8889152460598.158,5602891253909.0625,-10564842436571.521,1524763826.8875701,271813885.366575
7000,-36845220397072.59,10370417127416.357,6536364011283.695,-12325145902800.15,1778851227.3864176,317101159.42922026
8000,-42108089525796.99,11851681617578.252,7469834469101.029,-14085445031654.666,2032938656.4994936,362388332.11856884
9000,-47370958175096.945,13332945972811.062,8403303170483.225,-15845740847530.668,2287026107.4690876,407675427.37661684
10000,-52633826446209.81,14814210221607.072,9336770486299.836,-17606034049942.38,2541113575.680553,452962461.5523509
11000,-57896694411346.59,16295474384289.457,10270236681093.717,-19366325137860.887,2795201057.8421674,498249446.3077158
12000,-63159562123827.07,17776738475864.496,11203701950203.426,-21126614479729.57,3049288551.523261,543536390.2539858
13000,-68422429624143.875,19258002507728.395,12137166441977.555,-22886902355361.875,3303376054.8778467,588823299.9309864
14000,-73685296943773.1,20739266488739.86,13070630271733.832,-24647188982270.094,3557463566.470957,634110180.4224397
15000,-78948164107667.55,22220530425921.51,14004093530891.385,-26407474532889.758,3811551085.164981,679397035.7585346
16000,-84211031135943.27,23701794324934.9,14937556293149.846,-28167759146234.145,4065638610.042784,724683869.1883196
17000,-89473898045053.77,25183058190410.555,15871018618792.174,-29928042936010.246,4319726140.354208,769970683.3693775
18000,-94736764848629.25,26664322026184.613,16804480557755.719,-31688325996411.188,4573813675.477781,815257480.5032101
19000,-99999631558086.81,28145585835470.375,17737942151871.98,-33448608406340.855,4827901214.892994,860544262.433981
20000,-105262498183086.44,29626849620986.3,18671403436531.33,-35208890232553.695,5081988758.159407,905831030.7218965
21000,-110525364731872.03,31108113385052.79,19604864441940.934,-36969171532027.875,5336076304.901088,951117786.6986632
22000,-115788231211537.17,32589377129666.176,20538325194090.16,-38729452353785.51,5590163854.794638,996404531.5100437
23000,-121051097628228.81,34070640856556.395,21471785715500.953,-40489732740308.68,5844251407.5597725,1041691266.1489381
24000,-126313963987308.81,35551904567232.5,22405246025818.445,-42250012728652.836,6098338962.952008,1086977991.4814198
25000,-131576830293481.94,37033168263018.625,23338706142280.895,-44010292351333.71,6352426520.756809,1132264708.2674654
26000,-136839696550899.17,38514431945082.97,24272166080097.727,-45770571637040.125,6606514080.784906,1177551417.1775932
27000,-142102562763241.53,39995695614461.53,25205625852755.637,-47530850611211.51,6860601642.868444,1222838118.8063831
28000,-147365428933788.12,41476959272077.19,26139085472269.562,-49291129296511.125,7114689206.857919,1268124813.6835275
29000,-152628295065472.97,42958222918755.62,27072544949389.195,-51051407713215.625,7368776772.619543,1313411502.2829492
30000,-157891161160931.47,44439486555238.664,28006004293770.664,-52811685879538.88,7622864340.033154,1358698185.0303452
31000,-163154027222539.5,45920750182194.93,28939463514120.008,-54571963811903.07,7876951908.990389,1403984862.3095315
32000,-168416893252446.28,47402013800229.38,29872922618313.91,-56332241525165.37,8131039479.393231,1449271534.4677687
33000,-173679759252604.25,48883277409891.21,30806381613501.74,-58092519032811.56,8385127051.152711,1494558201.820246
34000,-178942625224789.34,50364541011680.58,31739840506192.42,-59852796347119.32,8639214624.187817,1539844864.6539276
35000,-184205491170623.25,51845804606053.67,32673299302328.76,-61613073479298.48,8893302198.424595,1585131523.2308087
36000,-189468357091591.0,53327068193428.43,33606758007351.36,-63373350439611.11,9147389773.795311,1630418177.790742
