uur,m1x,m1y,m2x,m2y,Mx,My
0,412467881.1792291,62402455.95873414,49471265.43422373,667454602.7491508,434.4575765229539,92.18481510436597
1,393907796.4723314,123393758.25686425,98671702.49203913,660154011.3446047,1314.7338070995447,343.2130668792414
2,366152894.3344409,181504846.0549019,147327528.45115086,649208858.2640721,2641.4864031315774,821.9491955022547
3,329590405.8459555,235250106.6152881,195163656.00465643,634650784.1763352,4403.449056761644,1597.5052954337923
4,284878287.908712,283178683.2323163,241905373.60735193,616532874.1290461,6576.605725962103,2736.815557390296
5,232949381.87982583,323933842.5581607,287280075.1179963,594929933.933175,9123.95119070719,4301.8354800964735
6,174999541.09288466,356316601.4903734,331018965.6956946,569938720.599602,11996.006626376544,6346.541791012454
7,112457306.75951833,379348079.1207278,372859072.45563227,541678384.668311,15132.195794847808,8913.987006589103
8,46934925.7651384,392324592.38539916,412545811.4935373,510290203.27460295,18463.085207543096,12033.713406930523
9,-19835964.431414433,394858996.6615525,449834847.2593915,475936623.9881623,21913.363743041744,15719.83174657691
10,-86079056.22269186,386902555.7064183,484493839.9648894,438800645.84954745,25405.314765921943,19970.007718109504
11,-150051629.17778543,368744849.184042,516304418.5637616,399085064.0571561,28862.44898604172,24765.48540480251
12,-210118623.54754296,340992089.7593328,545064148.5480257,357011424.8241152,32212.940560292333,30072.134098460625
13,-264815765.13991925,304527060.90749484,570588408.1820186,312818724.7736664,35392.55027239827,35842.36649816492
14,-312897037.44284886,260456039.8768963,592712139.6348529,266761880.66851336,38346.81526510229,42017.67518962496
15,-353364400.42748666,210049028.87014705,611291446.8503646,219109987.7815468,41032.40718517328,48531.48938166946
16,-385480169.97403264,154679362.8027167,626205012.2904059,170144386.13600194,43417.6789258144,55312.065839445895
17,-408764400.5175996,95767600.03968021,637355306.1373936,120156557.52260444,45482.51087600045,62285.182542089475
18,-422980725.413044,34732985.52572263,644669564.4292288,69445880.36963302,47217.61983882695,69376.47958179469
19,-428114430.8736244,-27045869.67886959,648100516.6329427,18317273.36246457,48623.50880181942,76513.36915647806
20,-424346261.4815837,-88260828.17940953,647626848.0636114,-32921238.198459335,49709.22254242168,83626.50135975043
21,-412024825.5296589,-147695300.2206158,643253388.0673163,-83960997.16021842,50491.044277254245,90650.8184959438
22,-391639708.73963666,-204237839.3149673,635011020.7602098,-134495193.16995117,50991.232663470524,97526.2575660405
23,-363796672.2243967,-256889783.6082457,622956321.0977179,-184221308.01341647,51236.863829695794,104198.17170628706
24,-329195691.9722206,-304768466.6298106,607170924.8895731,-232843491.5705291,51258.81385585724,110617.54136949962
25,-288612123.8314497,-347107378.3969717,587760646.8403624,-280074834.49627805,51090.89470972473,116741.03937976366
26,-242880945.11533132,-383254447.7863832,564854365.5629932,-325639506.8367727,50769.14086072904,122531.00418450123
27,-192883808.26821405,-412669390.7094837,538602698.5851516,-369274735.64659476,50331.23353889278,127955.36507225795
28,-139538514.2687349,-434920855.91945356,509176493.45422614,-410732599.05924773,49816.04351609757,132987.55322545595
29,-83790445.54645935,-449683915.3532159,476765162.9140664,-449781618.8471094,49263.27004437031,137606.4238908627
30,-26605466.635306485,-456738292.3407272,441574892.40613794,-486208137.6566338,48713.15209393526,141796.2078284639
31,31036212.509398684,-455967596.40869015,403826746.2365103,-519817469.075967,48206.22745638198,145546.50438542466
32,88145722.81194097,-447359733.9972319,363754695.25139064,-550434802.5212775,47783.11502754689,148852.3237076475
33,143731282.65930444,-431008590.58735967,321603603.7672088,-577905813.469586,47484.295283948944,151714.1813319207
34,196804428.96695718,-407116993.9122656,277627396.8023409,-602096924.3623786,47349.86340009567,154138.2442311881
35,246387070.8421563,-376000459.51886797,232087824.35719156,-622895920.8498281,47419.2285561396,156136.52266296928
36,291520866.05124485,-338091347.0587844,185252091.63143688,-640213138.1198726,47730.73261445898,157727.09576323556
37,331279026.04853314,-293944449.06344396,137390170.22660434,-653980584.8612155,48321.16257673051,158934.35239771666
38,364780245.0291184,-244242267.49727637,88773381.72501248,-664151257.7577882,49225.13090864437,159789.2221384865
39,391205980.1590806,-189799083.59242558,39672904.83241198,-670698860.1632551,50474.30009274234,160329.35967413467
40,409821428.2439992,-131563066.77150011,-9641774.785038032,-673617381.053276,52096.43467776949,160599.23340693288
41,420000235.8336143,-70615110.90793177,-58904339.91294973,-672920520.7150577,54114.275743898404,160650.05616420798
42,421252646.9972527,-8162804.054953836,-107853010.5287971,-668641004.5576569,56544.25089515995,160539.48406372112
43,413256253.53831786,54472224.384670496,-156231799.85052246,-660829813.4983575,59395.05893247438,160331.0016147943
44,395887794.5876828,115875324.30024558,-203791657.82507694,-649555351.1976548,62666.20229689716,160092.9114370976
45,369253610.94016224,174569662.31874666,-250291504.5156569,-634902564.3212004,66346.5800357103,159896.86081730278
46,333715510.73012686,229057632.38300622,-295499157.29065686,-616972029.5014663,70413.29402314687,159815.86985689856
47,289908142.64278907,277872441.73622024,-339192156.8007925,-595879018.754508,74830.85227303118,159921.88022525882
48,238743760.40081617,319637897.3098098,-381158497.55354124,-571752553.4346132,79550.96319954394,160282.91771566885
49,181400762.46698332,353132611.8162864,-421197269.4886158,-544734455.2704561,84513.09115812757,160960.04673827832
50,119293770.70943275,377353181.6381135,-459119217.3505389,-514978401.58716285,89645.8786754454,162004.3733057143
51,54025221.95419281,391569839.70309925,-494747224.87051594,-482648990.4693202,94869.43677281798,163454.40239373292
52,-12678852.765063375,395368103.058944,-527916730.8328747,-447920820.35451514,100098.37768674345,165334.054749765
53,-79043589.03375433,388671239.1592121,-558476084.0276258,-410977587.35798043,105245.34205503896,167651.58681240593
54,-143323501.83391994,371740817.3460497,-586286843.8854651,-372011202.50633186,110224.68717656402,170399.54243486136
55,-203876539.38410768,345155665.16656536,-611224033.2429419,-331220929.9902593,114955.97834269963,173555.72139845087
