uur,c_x,c_y,b_x,b_y,ster_x,ster_y
0,23602608545.792366,-3866005235.949852,3847732459.2159443,31635901392.375263,1516326.0885949673,2794692.8329838505
1,21930462821.911777,-7591605044.142563,7637362605.39156,30678733310.8234,4936138.400478838,8150851.666795116
2,19396079279.408253,-11016930463.27895,11308472366.98359,29244026055.572315,10640129.265023649,15756367.066468488
3,16003533854.19332,-13952372820.770735,14799383716.942642,27342333754.270638,18982765.916735303,25199959.940768164
4,11791070483.835987,-16169199140.998592,18048073640.42891,24992409426.398476,30257588.43562195,35950150.01930471
5,6859444471.719227,-17393107876.354275,20993303440.432556,22221755418.616386,44638361.670978285,47340152.3976536
6,1418626012.5703192,-17310956341.514862,23575969104.039204,19067023124.916363,62085102.66559601,58577926.41661163
7,-4147328299.7926283,-15614593139.043821,25740661703.17855,15574188392.595476,82215402.36568673,68825903.99257137
8,-9227629567.583748,-12120244569.66152,27437403232.581207,11798424154.875284,104197242.4227698,77421697.0711112
9,-13041639223.764132,-6971546077.101949,28623494518.24177,7803594921.763598,126842951.89083174,84255133.64233923
10,-14914949317.456493,-783253661.6749525,29265378970.351753,3661311222.062517,149106925.15936777,90038583.88476646
11,-14633708406.776012,5530004206.138917,29340392886.79622,-550492230.7677503,170728167.00358927,95999793.67580962
12,-12497436415.767838,11162699819.067379,28838251631.975433,-4749451295.924181,192318877.6485187,103139503.93882781
13,-9053274278.050331,15656191039.507301,27762123070.234493,-8851084747.757008,214868529.1097905,111806921.7702484
14,-4840070993.730334,18861099086.518127,26129160861.470898,-12771413405.723223,239269236.15338856,121784407.55700481
15,-285042787.02009296,20807650106.30989,23970405623.429592,-16429727440.884453,266125939.07912475,132542601.11761937
16,4301374124.398221,21605420286.512646,21330014564.50598,-19751311546.982933,295751441.49910116,143441126.8693568
17,8699328219.956963,21389142402.551743,18263846344.175346,-22669929200.79068,328222978.30011505,153843020.61297348
18,12751928303.152842,20294643415.14222,14837495653.313742,-25129885968.431526,363444646.0332509,163171171.75352684
19,16343992163.01488,18450269968.47719,11123927918.07542,-27087535816.663525,401200438.2948098,170932961.397069
20,19387254522.482895,15975480023.574245,7200898328.51844,-28512155818.870617,441196646.1430146,176727990.6402137
