uur,Io_x,Io_y,Europa_x,Europa_y,Jupiter_x,Jupiter_y
0,414272091.8737289,-62139916.17193611,49017556.75766109,673559244.1575501,430.9168149288781,90.5476235234387
1,395863053.75520545,-122891973.91155513,97773896.18296462,666388319.6074896,1303.8418426430462,206.57659062526062
2,368327972.03364366,-180810874.7085901,146004901.0385609,655636512.2487992,2619.5192925155893,279.83446610113333
3,332039114.29181945,-234432494.6006728,193444983.78793064,641332780.1622568,4367.14679486889,240.6879421765927
4,287632181.7209201,-282322311.15636104,239828552.13439804,623526134.8574207,6523.525036931711,20.389619752707148
5,236012220.89758167,-323132047.6240485,284891570.3475633,602286014.0288317,9052.74007339803,-446.2657707381193
6,178344553.89463234,-355661313.89642537,328373209.4335004,577702529.1340085,11906.54842050996,-1218.0468350560452
7,116028207.7773971,-378919364.3479714,370017576.4163871,549886571.135043,15025.583720314786,-2344.381894025273
8,50651245.11795667,-392180885.4065359,409575510.05429506,518969758.2370385,18341.413454590376,-3862.7323246528968
9,-16070088.23057995,-395029423.64648074,446806427.28717065,485104210.4684817,21779.355928058867,-5796.5431536259
10,-82363874.5704221,-387382968.2207761,481480201.7046106,448462137.5268915,25261.845118906545,-8154.028737059856
11,-146480120.5385291,-369498291.1616278,513379052.43470246,409235228.48640263,28712.03455142036,-10927.953074446714
12,-206765943.04039744,-341953527.5589437,542299419.2154102,367633834.7387191,32057.288093007708,-14096.428914998034
13,-261731329.73344356,-305611470.6734703,568053797.1471214,323885940.8948054,35232.2282135023,-17624.619048018583
14,-310100190.26126105,-261568451.05431625,590472502.8712243,278235922.26141185,38181.0937681743,-21467.11060609929
15,-350843895.70199776,-211094966.66305026,609405342.8015834,230943091.84175074,40859.27616117356,-25570.672239450276
16,-383197086.98495895,-155574300.65975332,624723153.6664252,182280044.47916472,43234.02432394541,-29877.10085993429
17,-406657659.6661333,-96444420.76349485,636319186.0880337,132530810.62269703,45284.4090098075,-34325.90914130982
18,-420974186.1660213,-35146919.218011506,644110303.2969148,81988837.0754804,47000.700576340925,-38856.67731647384
19,-426124570.5640192,26914928.404598333,648037969.3681985,30954816.804522917,48383.33949867186,-43410.9720293706
20,-422289596.4452982,88408393.36845535,648069004.5605913,-20265605.750882268,49441.67244185116,-47933.80504176891
21,-409824465.527851,148094328.65109846,644196089.3660723,-71364223.6273663,50192.600135065004,-52374.65683044883
