dag,iox,ioy,eux,euy,Mx,My
0,-414511821.801309,31664646.660616525,583550526.6140296,314974569.3312984,0,0
10,396515287.17172384,220298324.81040972,523270840.1393983,-452576610.07797426,0,0
20,-278383429.78280306,-280206220.154671,-196827351.96745652,-668543546.1402112,0,0
30,208789552.75725567,404074457.7002579,-668885984.0730687,-70285828.82819858,0,0
40,37834779.54445021,-411472761.81716275,-249937834.6911831,598017185.0793729,0,0
50,-73567726.42206654,421139343.5028947,522238721.6823838,398625433.0363504,0,0
60,321041655.95410043,-309744995.5911628,574651822.841664,-375731127.41281855,0,0
70,-332175461.71801996,219401077.92536867,-110323475.05868754,-689962209.7334136,0,0
80,451435410.97490156,-77958316.54444683,-658503097.1258171,-167275497.44828337,0,0
90,-383419554.74262404,-124934041.83396053,-346986294.6272833,551266271.5750741,0,0
100,396608283.6391181,187957752.7743883,447768280.9179886,473893214.57753193,0,0
110,-203247361.38295734,-385686464.37533146,615333233.4376918,-290263630.0179055,0,0
120,148078621.32879606,377670903.5512412,-21992514.97864662,-698502099.0462409,0,0
130,62452256.96520618,-453319242.3909063,-634844668.4353797,-259280655.80276513,0,0
140,-197509566.31647125,344121057.28102183,-434735234.6598522,491529260.62433904,0,0
150,298774104.09110665,-334385377.5479535,361646796.6846417,538293309.7826847,0,0
160,-414034395.1418956,92853026.67028713,643977510.6103959,-197410343.292283,0,0
170,411890958.194392,-60097029.004940614,66919902.32350123,-694054553.0389856,0,0
180,-409882262.14290667,-193651264.53028437,-599009943.6615207,-344808382.1036708,0,0
190,297489158.532054,259882026.30672866,-511188243.3044257,420954893.4396968,0,0
200,-234969578.18189645,-389706676.9447348,266013723.08335412,589622389.4241127,0,0
210,-9401137.789586231,412587672.46824366,659279926.1476593,-98766463.43423922,0,0
220,44989929.87080047,-425695567.1799825,155138589.67516547,-676530403.5590707,0,0
230,-299541222.5465971,330016193.15757847,-552114818.7796686,-422659618.2474313,0,0
240,316149579.7791511,-242352943.91996494,-574957864.4739596,341888598.5459421,0,0
250,-445430698.41823,107326417.64005744,163545917.83016852,626179535.982944,0,0
260,390823877.05083275,97782349.86805516,660087672.1051635,3660715.5742240846,0,0
270,-408722972.719497,-161258633.46260557,241295604.1224561,-645880660.7345324,0,0
280,228351591.8495056,370766903.6752553,-495240086.702814,-491852103.2273963,0,0
290,-174158357.90863964,-366860918.90183425,-625225613.2904301,256675822.26881158,0,0
300,-32648268.397749163,456317552.5553187,57270395.64247518,646935006.0792623,0,0
310,172707909.99393088,-356998958.3201969,645555708.2946912,107447276.55882248,0,0
320,-276273188.98423326,353683875.2639568,323876760.4815259,-602145601.8774203,0,0
330,406243850.00307024,-120594962.40040356,-429416888.02952707,-551542578.5543771,0,0
340,-407326355.8937885,88300172.60071483,-661643506.1871139,167518639.52100503,0,0
350,421458653.08917487,166189554.51035327,-49679756.484534085,651604223.6872661,0,0
360,-315122295.1362462,-238266317.8310429,615317629.8645657,209818238.78614247,0,0
370,260153363.86957413,373641684.09778184,401188197.87944674,-545530945.1530224,0,0
380,-19025518.488970883,-411745538.7504325,-355642950.6595818,-600958621.5424829,0,0
390,-16151319.161286712,428310441.6240073,-684210665.5873399,76395646.66693515,0,0
400,276752650.4089774,-348804856.80901945,-154311936.39383125,640612109.8182425,0,0
410,-298553529.2736252,264134927.00178587,569635630.1540037,307793282.742952,0,0
420,437509927.2018558,-136238758.7984135,471355307.8512175,-476506287.2505412,0,0
430,-396320205.8010895,-70193375.76847997,-274922860.3934537,-639347089.8948072,0,0
440,419031526.966431,133793774.20992315,-693152840.4672619,-14960661.947440296,0,0
450,-252383495.7506427,-354206018.0277246,-253971216.5836626,614965529.8590525,0,0
460,199439097.54309458,354264261.45457935,509486950.1917781,398401271.0394604,0,0
470,2715921.400938168,-457350879.29350805,532366949.8017681,-395914839.7390101,0,0
480,-147070442.84203658,368105781.10694015,-188325915.95970103,-665944456.4470787,0,0
490,252532917.9532383,-371457221.97585493,-688822699.6894368,-105042937.36034465,0,0
500,-396592849.6365348,147726499.91640565,-346457044.29676104,576074244.2057629,0,0
510,400838215.17793286,-116141635.8421845,436552662.7254884,478927006.9001957,0,0
520,-431194651.4872163,-138033372.9855343,582174776.0193882,-305075193.3858656,0,0
530,331196054.82142437,215465347.8270406,-97054917.43066202,-679973841.5497319,0,0
540,-284231034.2157523,-355948823.5663113,-671629455.7450016,-192520011.51807404,0,0
550,47310763.153296135,408951473.11370015,-430055217.6190054,525565489.72109914,0,0
560,-12816251.572238341,-428970663.01270676,353099550.07293797,547136779.7319391,0,0
570,-252777551.8704605,366028680.0667915,618848312.013277,-205847855.4603708,0,0
580,279472741.72649395,-284640416.2742276,-2517791.22264304,-680673448.2133688,0,0
590,-427707220.20976186,164570221.22240716,-642000006.0195634,-276173609.8656115,0,0
600,399882750.00345093,42300603.01250444,-503501787.2681192,465127048.09955096,0,0
610,-427486614.6811662,-105685671.12890874,261778256.30204242,601431444.683263,0,0
620,275235322.8353238,336079666.4338054,640770681.8337858,-100636413.01922458,0,0
630,-223799234.8716819,-339940472.4366677,93608952.52249175,-667360182.7487199,0,0
640,27215100.20016046,456415096.96521354,-600370445.0530696,-354831566.46456677,0,0
650,120722967.34603652,-377387412.46230745,-565904898.7834889,396397115.08352983,0,0
660,-227657110.09452957,387626432.4051732,165385518.5568394,640898030.7772719,0,0
670,385127236.4592875,-174122689.74044842,646841164.2867117,7699125.824406557,0,0
680,-392455728.04869425,143490736.63100636,189339794.32332677,-639529089.9908849,0,0
690,439048496.77077484,109305951.38767457,-547205553.5730836,-427306126.40749943,0,0
700,-345631309.7591535,-191591177.97733384,-616649903.6907942,320904427.4435002,0,0
710,307097544.4680091,336704529.8834985,66643672.81826211,665262378.7346889,0,0
720,-75320768.79921424,-404219817.2903918,636637532.0347703,116018687.08103791,0,0
730,41780392.81535749,427671869.90361273,282380893.5592941,-596982587.8008025,0,0
