uur,vx_c,vx_b,vx_ster
0,-8240.794542076324,38477.32459215944,15.163260885949672
1,-16721.457238805895,37896.30146175616,34.19812311883871
2,-25343.835425035257,36711.097615920306,57.039908645448094
3,-33925.45425214933,34909.11349959054,83.42636651711655
4,-42124.633703573316,32486.89923486266,112.74822518886648
5,-49316.2601211676,29452.298000036484,143.80773235356332
6,-54408.18459148907,25826.656636066473,174.46740994617724
7,-55659.543123629475,21646.92599139348,201.30299700090723
8,-50803.01267791118,16967.415294026552,219.81840057083073
9,-38140.09656180383,11860.91285660565,226.45709468061943
10,-18733.10093692362,6418.84452109982,222.63973268536026
11,2812.4091068048147,750.1391644446485,216.21241844221495
12,21362.71991008175,-5021.412548207868,215.9071064492943
13,34441.62137717507,-10761.285617409412,225.49651461271793
14,42132.032843199966,-16329.622087635966,244.00707043598055
15,45550.28206710241,-21587.552380413057,268.56702925736175
16,45864.16911418314,-26403.910589236126,296.25502419976436
17,43979.54095558741,-30661.68220330635,324.71536801013895
18,40526.00083195879,-34263.506908616044,352.2166773313589
19,35920.63859862038,-37135.67735238321,377.557922615589
20,30432.62359468017,-39230.295895569805,399.9620784820478
21,24231.7300998024,-40525.520557692194,418.98816282950855
22,17421.890759543734,-41024.08657085059,434.4607405975503
23,10064.489235729525,-40750.480110646604,446.4104220668243
24,2196.0497782553784,-39747.23892909622,455.0195603364785
25,-6155.290346337414,-38070.8609992111,460.56789078478397
26,-14949.461192878109,-35787.737700352016,463.3712263336399
27,-24102.819167617337,-32970.42271604501,463.70126433803284
28,-33432.532923896535,-29694.430717184474,461.6643340950634
29,-42555.50258966481,-26035.65223365175,456.999991930609
30,-50711.06944867175,-22068.383744436258,448.7428168653701
31,-56492.192647704134,-17863.90609645571,434.7187821008088
32,-57607.22829947517,-13489.494335990657,411.10054086330837
33,-51241.23775773747,-9007.71014601264,373.06895558912646
34,-36018.6086524694,-4475.916135600824,318.4262204198621
35,-14734.581095284851,53.30056945308297,252.63096679099186
36,6609.471201399032,4528.757514092009,187.0406283512374
37,23467.715415311483,8897.949221047722,130.33868508501178
38,34676.20344545497,13112.4274747001,84.95395225203276
39,41016.97029072809,17129.86008269228,49.69403234497698
40,43701.754649271876,20910.92356029403,22.557175450279107
